VOL_MEAN,PET_MEAN,PET_KLASSE,LEITBAHN,BEWERTUNG,SHAPE.AREA,SHAPE.LEN
1100.1,27.78,mässige Qualität,0,sehr hoch,733.8370826,114.360677521093
1017.51,29.69,geringe Qualität,0,sehr hoch,5993.23447716,322.141127343458
0,35.13,sehr geringe Qualität,0,sehr hoch,4.58754256,11.2697133330443
960.3,33.4,geringe Qualität,0,sehr hoch,1966.68255846,255.235234173015
849.22,32.39,geringe Qualität,0,sehr hoch,10536.02508762,449.132676134122
665.46,24.09,mässige Qualität,0,sehr hoch,185.9884726,124.278957495145
758.4,32.14,geringe Qualität,0,sehr hoch,3792.52711604,354.423846627175
1314.2,35.13,sehr geringe Qualität,1,sehr hoch,348.99050444,77.2207503166277
1272.51,34.41,geringe Qualität,1,sehr hoch,447.33884976,104.47281392311
205.96,34.94,geringe Qualität,0,gering,9352.4258776,405.826714474092
723.92,33.19,geringe Qualität,0,gering,1252.1660026,197.248425289934
664.12,35.79,sehr geringe Qualität,0,gering,3309.5428142,318.380835955558
733.84,27.38,mässige Qualität,0,gering,706.40002038,166.323189155512
777.75,35.28,sehr geringe Qualität,0,gering,49.397886,28.4252451218197
812,36.27,sehr geringe Qualität,0,sehr hoch,29.7446045,27.8101788234005
633.67,31.03,geringe Qualität,0,gering,323.43554152,84.9638628486141
677.18,33.57,geringe Qualität,0,gering,6762.89993964,477.780516771654
575,34.48,geringe Qualität,0,hoch,25.56189012,51.6305255734731
663.42,32.64,geringe Qualität,0,gering,64.9199362,356.060868115665
553.51,31.21,geringe Qualität,0,hoch,2666.10378026,336.778695235924
531.47,34.19,geringe Qualität,0,hoch,13133.00496674,620.751010493424
462.33,30.43,geringe Qualität,0,gering,60843.43828428,1304.61774161554
411.1,20.98,hohe Qualität,0,mittel,45414.35082198,1389.99710951336
164.44,33.42,geringe Qualität,0,gering,1880.52812612,184.835614099882
743.17,19.4,hohe Qualität,0,mittel,77.39271276,49.2094520869556
179.1,30.72,geringe Qualität,0,hoch,6184.52910706,1259.7590622291
378.6,31.32,geringe Qualität,0,hoch,1035.64170256,296.761974350989
447.6,31.72,geringe Qualität,0,gering,849.82413372,158.275101646659
480.8,32.42,geringe Qualität,0,gering,633.0588237,144.278527854121
533.81,29.85,geringe Qualität,0,gering,1982.70459138,332.059458986273
566.4,31.26,geringe Qualität,0,gering,256.39418148,73.8356506477487
689.36,28.14,mässige Qualität,0,gering,1449.79335402,228.423405923936
482.1,33.51,geringe Qualität,0,gering,8345.55242792,641.533471441861
978.12,32.06,geringe Qualität,0,hoch,2445.69521432,209.624548857094
1044.75,24.62,mässige Qualität,0,hoch,130.41872262,180.465781105882
357.25,40.21,sehr geringe Qualität,0,hoch,30.5757645,22.6730422054735
1053.58,23.97,mässige Qualität,0,hoch,2326.599482,427.866098733504
877.21,28.23,mässige Qualität,0,gering,161.7703406,96.5971792826606
528,38.93,sehr geringe Qualität,0,gering,17.98894934,24.1874097088046
