ROTATION,VOL_GR_1,E,N
342.92091,1,2687171.954,1247510.261
359.84335,1,2687354.033,1247496.516
7.51177,2,2687288.983,1247912.402
330.87597,2,2687255.771,1251295.813
267.56137,4,2687649.749,1245208.916
159.43291,2,2687401.072,1246891.79
180,1,2688079.908,1246780.807
186.35527,2,2688478.562,1245710.546
356.82953,1,2688546.541,1246216.743
14.22729,2,2688590.001,1246480.407
38.54151,2,2688834.964,1246914.797
67.99707,1,2689085.045,1246005.725
38.31309,1,2689451.798,1245552.728
41.80792,1,2689537.273,1245582.826
330.3805,2,2677744.7,1250584.205
193.71579,3,2677750.022,1251992.418
340.49764,2,2678101.656,1246283.964
346.14002,2,2677912.499,1246862.44
35.09178,3,2677940.167,1248234.291
31.32982,3,2677817.817,1248860.517
74.63614,4,2678386.313,1247520.409
216.85747,1,2678403.48,1252447.885
0.59066,2,2678761.589,1246259.491
1.67811,2,2678584.034,1246483.175
146.23153,2,2678570.701,1249907.751
166.92811,2,2678554.069,1251341.464
351.81172,2,2678851.418,1245948.853
232.72622,2,2678947.185,1251814.71
140.70109,2,2679177.261,1250443.84
253.47301,1,2679139.043,1252203.468
22.53314,2,2679091.811,1253607.242
10.75576,2,2679453.073,1252962.117
234.76109,2,2679900.554,1249740.208
168.59198,1,2679997.526,1251516.894
86.75309,2,2680556.462,1242038.502
62.26566,3,2680636.036,1244723.129
49.16686,3,2680390.963,1245056.472
90.3424,1,2680423.688,1251543.217
20.00152,2,2680490.602,1252223.585
279.36896,2,2680915.442,1251009.301
149.24855,2,2680820.176,1253643.151
77.04455,4,2681306.63,1242432.066
66.25013,4,2681205.786,1244033.225
70.88849,3,2681180.097,1244489.436
78.00267,3,2681298.343,1244862.188
317.86245,1,2681141.182,1251088.815
4.55704,2,2681315.925,1251415.369
55.0806,4,2681531.374,1244571.569
158.73383,3,2681836.337,1242309.987
336.80146,4,2681864.635,1243148.129
200.85821,2,2681681.925,1250217.108
75.20296,3,2682173.243,1242888.4
97.30883,2,2682190.119,1250653.087
75.03154,2,2682242.365,1250669.764
