PET_KLASSE,NACHTBELAS,PET_MITTEL,T2M_MITTEL,SHAPE.AREA,SHAPE.LEN
maessige Belastung,maessig,34.78,18.7,176.6037472,53.3449121230783
maessige Belastung,maessig,33.59,18.6,369.91581406,81.694743479748
sehr starke Belastung,maessig,38.33,18.77,198.45216028,93.7055889392105
sehr starke Belastung,maessig,38.99,18.87,74.00811242,76.760336656639
maessige Belastung,hoch,34.95,19.24,32.51698202,23.0189338818648
sehr starke Belastung,maessig,38.08,18.78,236.87770248,232.769437454439
sehr starke Belastung,maessig,38.91,18.88,1106.1552429,301.489798294416
maessige Belastung,maessig,34.94,18.08,852.9240294,219.285814945118
maessige Belastung,hoch,34.28,19.2,478.29502072,165.800588256637
sehr starke Belastung,maessig,37.95,18.77,305.17401588,239.990504405528
sehr starke Belastung,hoch,37.39,19.06,105.3717252,46.0139884865582
maessige Belastung,maessig,34.76,18.92,235.43873602,195.465682318493
starke Belastung,maessig,36.2,18.53,946.9671728,314.560728150219
starke Belastung,hoch,35.61,19.44,69.9498434,35.2318923441894
starke Belastung,maessig,35.75,18.39,87.8433581,37.8332058138025
maessige Belastung,schwach,33.85,17.58,73.8972679,48.9003108927072
sehr starke Belastung,hoch,37.9,19.04,237.86914294,64.9289700992927
starke Belastung,maessig,36.84,18.58,577.3185969,152.255112461517
starke Belastung,maessig,36.27,18.6,2199.29194204,238.016183231568
sehr starke Belastung,maessig,38.78,18.86,1207.78593988,231.217759239549
maessige Belastung,maessig,34.12,18.65,483.11580392,98.9787216867837
starke Belastung,maessig,35.21,18.88,782.78405804,244.467309458322
maessige Belastung,maessig,33.71,18.71,485.37166214,180.285395093461
starke Belastung,maessig,35.32,18.83,719.34563266,107.277121419197
starke Belastung,maessig,36.16,18.51,2239.11306786,307.075677299564
starke Belastung,maessig,35.67,18.6,437.86395712,104.517295012196
starke Belastung,maessig,35.72,18.39,3872.69635974,365.333938997171
starke Belastung,maessig,35.76,18.33,406.33138286,98.0728067875482
starke Belastung,maessig,35.84,18.5,1631.14218468,207.493513935252
starke Belastung,maessig,36.3,18.43,289.18436972,212.18137221861
starke Belastung,maessig,36.69,18.51,2005.93558018,243.579432212058
maessige Belastung,maessig,31.99,18.47,84.97399374,47.6476058798359
starke Belastung,maessig,36.07,18.45,528.89183944,100.999025531314
maessige Belastung,nicht vorhanden,33.6,17.2,39.25219022,39.2379482350626
maessige Belastung,maessig,34.67,18.07,1949.00622138,392.900897804901
maessige Belastung,maessig,34.84,18.58,84.0888426,54.7990545569163
maessige Belastung,maessig,34.89,18.27,3854.10791932,1468.29804491564
starke Belastung,maessig,35.94,18.26,1792.57908596,178.654259608489
starke Belastung,maessig,36.2,18.33,347.07295852,172.914254459949
starke Belastung,maessig,36.37,18.31,2005.08148072,246.053305826721
starke Belastung,maessig,36.1,18.35,224.10942098,185.982070397722
sehr starke Belastung,maessig,39.42,18.76,267.22823046,211.603992393664
sehr starke Belastung,maessig,39.15,18.73,693.72627068,227.179347803478
sehr starke Belastung,maessig,38.92,18.84,267.30612046,143.989044024975
sehr starke Belastung,maessig,37.6,18.52,329.16638214,187.903264578035
starke Belastung,maessig,35.86,18.23,173.35784602,64.980129064419
starke Belastung,maessig,36.73,18.41,5718.64700124,774.506757355348
sehr starke Belastung,maessig,39.94,18.81,726.8847507,219.510451072195
starke Belastung,maessig,36.94,18.35,2036.79084632,815.837557364032
maessige Belastung,schwach,34.21,17.86,33.60160742,24.4941499951849
