ID,SHAPE.AREA,SHAPE.LEN
68928,18.6424867,18.5588575218202
66426,2205.45334796,288.726741636011
66425,406.591298,80.6989178671271
99472,16.62912702,18.8691630753777
99414,2214.7548349,358.43922516568
99409,2458.14444816,399.771399424018
109582,729.27798032,155.483747818273
116233,7638.51462764,867.067814985258
114490,287.2734085,81.9149652300249
114488,4060.99936782,604.722479896663
117696,3764.72922308,560.056422270098
106385,1163.70169336,148.522353253229
121383,485.61048214,103.381943466703
94171,15.1373204,24.2044864977426
116259,43.07104172,43.6035149667068
119531,5069.79856168,469.082287687152
116331,17.7855363,43.967358887406
118612,14785.21013102,729.298862124759
6124,5418.09425674,409.323922185613
6103,5840.11109046,552.300676044977
4268,7977.13509778,887.255552654719
3431,5876.22756434,609.132301477793
3436,13213.04212302,1089.68302214392
66109,3804.566131,527.744405215398
99434,4161.0212189,424.575590288314
99406,2412.15637978,320.254142247842
97084,9198.4173589,967.726560657837
120414,251.4795074,74.8501779841942
120416,291.60462262,69.9511532246412
120409,562.8930986,139.932905976588
106550,848.9659388,183.377944380294
113902,499.6740902,109.999463062301
119881,142.898895,48.9671670012738
106411,490.8220589,84.9024958937246
94911,161.2124432,57.2279019946399
117707,2775.3933556,263.884325965711
104500,16.4278113,18.9048962787771
4271,522.52500248,125.554367889949
4267,268.44731042,67.6258662459248
7437,3893.30729084,290.769780096719
3430,2133.07728074,204.259847685716
2195,244.5069719,92.0694609700552
5681,1884.45752246,292.376035592204
66130,9.4927302,37.8884383209086
66044,865.4117921,158.031979114339
66049,490.3297328,108.455323090865
66058,1220.1070755,189.432807767079
99426,77.5910885,50.634007986627
