ARPS,ABC,FIRST_STAT,BFSNR,NBC,GEMEINDE,STAND,BCLAB,SHAPE.AREA,SHAPE.LEN
1,B,,261,1,Zürich,2019,Ueberbaut,1766.8971875,252.967021070521
1,B,,261,1,Zürich,2019,Ueberbaut,5138.538718065,499.911043200098
1,TR,,261,11,Zürich,2019,Technischer Rest,3411.6352645,697.142893136496
1,B,,261,1,Zürich,2019,Ueberbaut,1877.86888245,218.379297586545
1,B,,261,1,Zürich,2019,Ueberbaut,57886.06997832,1861.85977522137
1,B,,261,1,Zürich,2019,Ueberbaut,23475.21847791,933.012865990855
1,TR,,261,11,Zürich,2019,Technischer Rest,3583.0294248,322.046981281175
1,TR,,261,11,Zürich,2019,Technischer Rest,9613.258457465,510.289471618669
1,B,,261,1,Zürich,2019,Ueberbaut,106962.381949645,2127.94174073305
1,5J,,261,3,Zürich,2019,Baureif in 5 Jahren,151.81133509,49.4186719115256
1,B,,261,1,Zürich,2019,Ueberbaut,8399.063937125,507.312546467765
1,TR,,261,11,Zürich,2019,Technischer Rest,19194.870910075,1156.36837097467
1,B,,261,1,Zürich,2019,Ueberbaut,40163.99078895,816.087310931011
1,B,,261,1,Zürich,2019,Ueberbaut,23895.23993105,686.512995328987
1,TR,,261,11,Zürich,2019,Technischer Rest,2557.64865075,204.768651904958
1,TR,,261,11,Zürich,2019,Technischer Rest,164640.25530628,2736.52993063911
1,B,,261,1,Zürich,2019,Ueberbaut,52551.58978716,1052.97640983299
1,TR,,261,11,Zürich,2019,Technischer Rest,13817.305730755,508.436246477151
1,S,,261,2,Zürich,2019,Sofort baureif,6548.079676265,339.189074161476
1,B,,261,1,Zürich,2019,Ueberbaut,55943.57687575,1076.21131042816
1,B,,261,1,Zürich,2019,Ueberbaut,1182.57179732,142.049639852327
1,B,,261,1,Zürich,2019,Ueberbaut,7205.982842235,326.214910195306
1,B,,261,1,Zürich,2019,Ueberbaut,146620.575149395,2650.34763682381
1,B,,261,1,Zürich,2019,Ueberbaut,31292.74940338,722.190666345293
