Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumCars
2020-08-01 11:00:00,2679717,1246816,251.0
2013-11-10 17:00:00,2679717,1249837,611.0
2020-09-29 09:00:00,2679717,1250173,542.0
2015-06-27 20:00:00,2679718,1246817,143.0
2016-06-04 07:00:00,2679718,1246817,173.0
2018-11-21 06:00:00,2679718,1246817,675.0
2014-04-04 06:00:00,2679718,1246818,577.0
2014-03-19 07:00:00,2679719,1246818,1015.0
2016-04-22 07:00:00,2679719,1246818,852.0
2019-08-06 00:00:00,2679719,1246833,36.0
2018-03-06 06:00:00,2679720,1246818,663.0
2020-06-21 17:00:00,2679721,1246818,324.0
2016-04-06 13:00:00,2679721,1246819,338.0
2020-05-26 10:00:00,2679721,1249625,633.0
2013-06-05 15:00:00,2679723,1246820,454.0
2017-09-05 15:00:00,2679723,1249685,972.0
2012-08-05 13:00:00,2679724,1246831,229.0
2017-09-16 07:00:00,2679725,1249679,256.0
2017-05-28 14:00:00,2679726,1250412,500.0
2013-05-26 17:00:00,2679727,1246824,428.0
2018-01-26 17:00:00,2679727,1250459,841.0
2014-12-17 22:00:00,2679728,1246818,106.0
2017-10-27 10:00:00,2679729,1249583,801.0
2016-06-20 17:00:00,2679729,1250266,1519.0
2016-12-13 13:00:00,2679730,1249582,840.0
2017-06-15 13:00:00,2679730,1249582,859.0
2020-02-13 21:00:00,2679730,1249772,349.0
2015-09-16 17:00:00,2679730,1250246,1441.0
2018-08-31 22:00:00,2679730,1250278,322.0
2017-07-17 17:00:00,2679730,1250290,1318.0
2019-06-13 15:00:00,2679730,1250292,881.0
2016-07-19 18:00:00,2679731,1250244,1332.0
2018-02-06 13:00:00,2679731,1250280,681.0
2016-10-31 07:00:00,2679731,1250291,973.0
2020-10-07 17:00:00,2679731,1250447,759.0
2015-10-22 11:00:00,2679732,1249584,817.0
2018-03-09 11:00:00,2679732,1250249,851.0
2017-01-05 13:00:00,2679732,1250252,603.0
2013-08-12 19:00:00,2679732,1250269,600.0
2019-05-24 08:00:00,2679732,1250281,636.0
2020-06-13 18:00:00,2679733,1246827,321.0
2013-07-16 11:00:00,2679733,1250277,661.0
2014-07-06 19:00:00,2679733,1250277,544.0
2016-11-22 07:00:00,2679734,1246828,948.0
2018-05-26 15:00:00,2679734,1250236,711.0
2019-05-17 15:00:00,2679734,1250446,639.0
2020-09-04 18:00:00,2679735,1250437,613.0
2014-03-08 07:00:00,2679736,1250309,201.0
2015-06-03 07:00:00,2679736,1250445,1316.0
2018-07-07 23:00:00,2679740,1250444,346.0
2018-06-15 19:00:00,2679742,1246828,278.0
2020-05-31 17:00:00,2679743,1250281,512.0
2013-02-24 13:00:00,2679745,1249810,505.0
2020-06-03 11:00:00,2679745,1250441,578.0
2016-09-24 13:00:00,2679750,1250364,869.0
2014-09-08 14:00:00,2679751,1246689,300.0
2016-08-06 12:00:00,2679752,1246853,236.0
2014-04-03 05:00:00,2679752,1250405,318.0
2018-06-04 17:00:00,2679753,1246679,352.0
2018-08-16 17:00:00,2679753,1250382,795.0
2014-08-20 09:00:00,2679755,1249708,613.0
2015-09-07 17:00:00,2679757,1250347,1412.0
2014-10-27 22:00:00,2679757,1250387,216.0
2019-04-30 21:00:00,2679757,1250390,225.0
2015-10-21 19:00:00,2679759,1246858,332.0
2017-12-11 16:00:00,2679759,1246889,529.0
2020-05-26 13:00:00,2679759,1250366,677.0
2019-07-13 13:00:00,2679759,1250368,650.0
2016-05-18 15:00:00,2679759,1250413,691.0
2018-11-06 16:00:00,2679760,1250432,674.0
2016-05-19 16:00:00,2679761,1250379,1508.0
2020-12-23 16:00:00,2679762,1250367,1012.0
2019-11-27 13:00:00,2679762,1250376,738.0
2015-06-14 18:00:00,2679762,1250381,557.0
2017-01-12 19:00:00,2679764,1246857,343.0
2016-11-14 17:00:00,2679764,1250381,839.0
2019-08-24 15:00:00,2679765,1250425,597.0
2020-03-17 20:00:00,2679765,1250429,217.0
2015-06-29 01:00:00,2679766,1250420,38.0
2019-02-14 14:00:00,2679767,1246720,315.0
2017-05-18 20:00:00,2679767,1246892,242.0
2016-08-23 16:00:00,2679768,1250391,698.0
2013-02-02 10:00:00,2679768,1250398,648.0
2013-07-05 16:00:00,2679769,1246849,613.0
2020-08-28 15:00:00,2679769,1246873,382.0
2020-02-03 22:00:00,2679769,1250434,160.0
2020-08-03 03:00:00,2679770,1250389,30.0
2012-12-11 21:00:00,2679772,1246868,274.0
