Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2020-12-06 18:00:00,2681571,1247412,9.0,
2020-03-09 06:00:00,2681571,1247673,7.0,
2020-02-05 23:00:00,2681574,1247699,7.0,
2011-05-27 22:00:00,2681575,1247679,19.5,
2020-08-07 09:00:00,2681575,1247693,23.0,
2011-05-13 15:00:00,2681577,1252115,25.0,
2020-05-13 12:00:00,2681579,1247681,17.0,
2011-08-22 15:00:00,2681580,1247751,26.5,
2020-09-11 21:00:00,2681580,1248910,,4.5
2020-01-17 18:00:00,2681581,1247674,26.0,
2011-05-08 15:00:00,2681592,1247495,33.5,
2020-10-14 14:00:00,2681598,1247618,19.5,
2020-05-06 22:00:00,2681605,1252099,,10.5
2011-04-10 14:00:00,2681609,1247596,34.0,
2011-05-13 14:00:00,2681613,1252014,12.0,
2011-05-21 13:00:00,2681615,1247688,44.0,
2011-07-11 16:00:00,2681621,1247687,40.0,
2020-07-03 17:00:00,2681623,1247954,78.5,
2020-06-03 11:00:00,2681623,1248895,,131.5
2011-07-21 17:00:00,2681624,1247581,36.0,
2020-09-11 07:00:00,2681626,1247702,23.5,
2020-06-01 10:00:00,2681628,1247560,16.0,
2020-01-17 08:00:00,2681628,1247679,50.0,
2020-10-19 12:00:00,2681629,1247556,19.0,
2020-12-15 15:00:00,2681629,1247575,13.0,
2011-03-25 19:00:00,2681631,1247523,49.5,
2020-08-12 06:00:00,2681632,1247555,7.5,
2020-11-29 17:00:00,2681633,1247525,10.5,
2020-10-20 19:00:00,2681634,1247993,16.5,
2020-07-25 13:00:00,2681637,1247493,25.5,
2020-01-23 09:00:00,2681637,1251994,,89.5
2020-12-11 16:00:00,2681641,1248006,20.0,
