Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2020-11-25 14:00:00,2682502,1248469,20.0,
2011-09-23 08:00:00,2682523,1247074,94.5,
2020-12-08 16:00:00,2682527,1248537,67.0,
2020-12-19 15:00:00,2682529,1247709,42.5,
2020-09-30 11:00:00,2682532,1246993,,7.0
2020-09-28 11:00:00,2682541,1248420,16.5,
2020-08-11 23:00:00,2682552,1250194,,6.0
2020-07-09 17:00:00,2682556,1250272,,412.5
2020-10-13 09:00:00,2682557,1250265,,38.0
2011-10-16 17:00:00,2682561,1250274,7.0,
2011-02-14 14:00:00,2682563,1247097,15.0,
2011-05-23 11:00:00,2682565,1247102,38.0,
2011-08-10 18:00:00,2682568,1247629,101.5,
2011-04-15 15:00:00,2682569,1250266,6.5,16.0
2011-02-01 19:00:00,2682570,1250241,0.0,5.5
2011-04-04 07:00:00,2682572,1250272,0.0,1.5
2020-10-04 22:00:00,2682573,1247362,39.5,
2011-08-16 15:00:00,2682574,1250204,25.0,
2020-09-30 13:00:00,2682574,1250283,,98.5
2020-04-24 08:00:00,2682574,1250286,,115.0
2020-05-14 09:00:00,2682576,1250205,,92.5
2020-10-31 16:00:00,2682577,1250272,,55.5
2011-09-13 23:00:00,2682577,1250275,12.0,
2011-06-11 18:00:00,2682580,1250257,2.5,13.5
2020-08-05 19:00:00,2682580,1250258,,53.0
2020-04-11 17:00:00,2682581,1250256,,226.0
2020-04-02 18:00:00,2682581,1250257,119.5,
2020-06-14 01:00:00,2682605,1250349,,67.0
2020-07-28 19:00:00,2682606,1247397,293.0,
2020-10-15 19:00:00,2682608,1250220,,63.5
2011-06-24 14:00:00,2682609,1247649,28.0,
2020-02-05 18:00:00,2682611,1247419,238.5,
2020-05-20 17:00:00,2682616,1250371,,386.5
2011-06-29 09:00:00,2682617,1250297,1.5,13.0
2020-10-17 00:00:00,2682623,1250225,,10.5
2020-10-06 19:00:00,2682625,1247173,173.0,
2011-08-04 16:00:00,2682628,1250349,39.0,
2020-10-22 16:00:00,2682633,1250230,,52.5
2020-11-12 13:00:00,2682634,1250353,,81.5
2011-01-22 01:00:00,2682636,1250355,0.0,0.0
2020-05-22 14:00:00,2682638,1250231,,265.0
2020-11-24 08:00:00,2682639,1250226,,39.5
2020-01-09 09:00:00,2682641,1247875,,185.0
2011-11-09 05:00:00,2682641,1247877,1.5,
2020-01-19 20:00:00,2682641,1250226,19.0,
2020-10-20 09:00:00,2682642,1247883,,204.0
2020-11-10 15:00:00,2682642,1247883,,210.0
2020-11-26 18:00:00,2682644,1247485,255.0,
2020-08-06 19:00:00,2682647,1247485,305.0,
2011-10-09 13:00:00,2682650,1250363,11.0,
2011-10-08 22:00:00,2682652,1250235,6.0,
2020-08-10 16:00:00,2682655,1250364,,81.0
2011-10-08 21:00:00,2682656,1250192,5.0,
2020-04-30 14:00:00,2682657,1250236,,82.5
2020-11-27 19:00:00,2682660,1247533,82.0,
2020-01-24 14:00:00,2682669,1250211,41.5,
2020-04-01 17:00:00,2682669,1250359,103.0,
2020-10-20 13:00:00,2682670,1250194,,80.5
2020-11-26 17:00:00,2682674,1247843,,304.5
2020-07-18 17:00:00,2682677,1247564,132.0,
2011-11-09 17:00:00,2682678,1247747,63.0,
2020-06-19 17:00:00,2682680,1250260,,367.0
2020-10-31 08:00:00,2682686,1247826,,30.5
2020-05-13 20:00:00,2682688,1247821,,55.5
2020-01-23 10:00:00,2682690,1250248,36.5,
2011-11-03 09:00:00,2682690,1250250,22.0,
2020-01-05 15:00:00,2682691,1247768,,163.0
2020-08-08 12:00:00,2682692,1247466,201.0,
2011-07-03 10:00:00,2682693,1247811,17.5,
2020-03-18 17:00:00,2682699,1250250,129.5,
2020-08-25 16:00:00,2682701,1250251,,106.0
2020-11-28 00:00:00,2682702,1247811,,56.5
2020-09-05 15:00:00,2682702,1250252,,59.5
2020-10-02 18:00:00,2682709,1250265,,112.0
2020-10-18 03:00:00,2682710,1250305,,1.0
2020-05-06 16:00:00,2682710,1250598,,102.5
2020-03-03 07:00:00,2682725,1247831,,195.5
2020-10-19 07:00:00,2682731,1246516,29.5,
2020-01-27 05:00:00,2682731,1247600,,12.5
2020-05-26 16:00:00,2682732,1247136,235.0,
2020-11-25 09:00:00,2682733,1246516,10.5,
2020-01-21 09:00:00,2682734,1247350,123.5,
2020-10-27 11:00:00,2682735,1247344,128.0,
2020-04-28 11:00:00,2682735,1250641,,62.0
2020-09-11 10:00:00,2682736,1246519,7.0,
2011-10-02 11:00:00,2682737,1250685,20.0,
2020-06-12 14:00:00,2682738,1247449,203.0,
2020-08-24 10:00:00,2682742,1247559,57.0,
2020-09-03 14:00:00,2682748,1247444,180.0,
2020-10-12 23:00:00,2682748,1247460,25.0,
2020-08-26 12:00:00,2682752,1247551,122.0,
2011-12-08 14:00:00,2682753,1246609,16.5,
2020-06-06 14:00:00,2682753,1247318,284.0,
2020-02-02 17:00:00,2682753,1247441,59.0,
2020-07-01 23:00:00,2682756,1247838,,131.5
2020-07-04 21:00:00,2682757,1247321,,47.5
2020-01-26 03:00:00,2682757,1247559,,78.0
2020-07-28 19:00:00,2682757,1247695,130.0,
2020-11-08 11:00:00,2682758,1247700,36.0,
2020-02-23 13:00:00,2682759,1247546,,129.0
2020-05-16 16:00:00,2682760,1247699,130.0,
2020-06-28 20:00:00,2682762,1247310,,32.0
2011-09-15 19:00:00,2682764,1248747,38.5,
2020-09-19 00:00:00,2682765,1247457,,41.5
2020-09-18 11:00:00,2682766,1247458,,117.0
2020-10-04 14:00:00,2682766,1247489,,72.0
2020-05-25 14:00:00,2682766,1247545,84.0,
2020-07-09 18:00:00,2682767,1247488,,168.5
2020-08-13 19:00:00,2682767,1247490,,102.5
2020-12-17 13:00:00,2682769,1245379,6.5,
2020-03-29 14:00:00,2682769,1246059,30.0,
2020-03-26 17:00:00,2682770,1247489,,49.5
2011-09-27 17:00:00,2682770,1248745,47.0,
2011-11-26 04:00:00,2682770,1248753,1.0,
2020-12-16 10:00:00,2682771,1247488,,80.0
2020-10-03 02:00:00,2682774,1247433,,11.0
2011-10-15 23:00:00,2682774,1250600,3.0,
2020-02-26 10:00:00,2682776,1245958,27.0,
2020-07-23 18:00:00,2682776,1247438,,131.5
2020-10-15 00:00:00,2682778,1246618,0.5,
2020-05-31 03:00:00,2682778,1247892,,27.0
2020-07-07 13:00:00,2682778,1250722,,165.5
2020-06-24 18:00:00,2682781,1246543,39.5,
2011-09-18 01:00:00,2682781,1247881,5.0,
2020-05-29 16:00:00,2682781,1250727,,132.5
2011-05-31 10:00:00,2682784,1245922,32.0,
2011-07-06 12:00:00,2682785,1245921,57.5,
2011-10-17 11:00:00,2682785,1245921,13.5,
2011-12-13 16:00:00,2682785,1245921,19.5,
2020-10-01 12:00:00,2682786,1247450,,227.0
2020-09-20 19:00:00,2682786,1247535,63.0,
2011-08-27 18:00:00,2682787,1250737,28.0,
2020-02-05 13:00:00,2682788,1247866,,184.0
2011-11-29 10:00:00,2682788,1247867,22.5,
2011-06-05 19:00:00,2682789,1245871,75.5,
2020-10-04 02:00:00,2682789,1247530,6.0,
2020-09-16 15:00:00,2682789,1247533,110.0,
2020-11-15 01:00:00,2682791,1247889,,26.0
2011-04-02 15:00:00,2682793,1245830,105.5,
2020-10-18 18:00:00,2682793,1247416,,48.5
2020-10-10 12:00:00,2682793,1247864,,108.0
